Age,From State,To State,Probability
42,2.00000,13.00000,0.08571
42,2.00000,12.00000,0.11429
42,2.00000,9.00000,0.01429
42,2.00000,10.00000,0.08571
42,16.00000,56.00000,0.15599
42,16.00000,11.00000,0.19220
42,16.00000,55.00000,0.28691
42,16.00000,10.00000,0.30641
42,16.00000,54.00000,0.05850
42,13.00000,9.00000,0.16918
42,13.00000,49.00000,0.24773
42,13.00000,8.00000,0.36858
42,13.00000,48.00000,0.09063
42,13.00000,50.00000,0.12387
42,15.00000,54.00000,0.19777
42,15.00000,10.00000,0.39833
42,15.00000,53.00000,0.26462
42,15.00000,52.00000,0.03343
42,15.00000,9.00000,0.10585
42,38.00000,80.00000,0.50000
42,38.00000,27.00000,0.45312
42,38.00000,79.00000,0.01562
42,38.00000,26.00000,0.03125
42,35.00000,78.00000,0.30723
42,35.00000,77.00000,0.19880
42,35.00000,24.00000,0.36145
42,35.00000,25.00000,0.13253
42,33.00000,76.00000,0.49793
42,33.00000,23.00000,0.42739
42,33.00000,22.00000,0.07469
42,18.00000,12.00000,0.43429
42,18.00000,59.00000,0.29143
42,18.00000,58.00000,0.20571
42,18.00000,11.00000,0.06857
42,8.00000,5.00000,0.51793
42,8.00000,35.00000,0.16733
42,8.00000,36.00000,0.15139
42,8.00000,37.00000,0.15936
42,8.00000,38.00000,0.00398
42,34.00000,77.00000,0.45714
42,34.00000,24.00000,0.28571
42,34.00000,23.00000,0.21143
42,34.00000,76.00000,0.04571
42,4.00000,20.00000,0.16216
42,4.00000,22.00000,0.11712
42,4.00000,3.00000,0.34234
42,4.00000,19.00000,0.05405
42,4.00000,23.00000,0.15315
42,4.00000,21.00000,0.11712
42,4.00000,2.00000,0.05405
42,37.00000,26.00000,0.53763
42,37.00000,79.00000,0.46237
42,1.00000,1.00000,0.40625
42,1.00000,7.00000,0.12500
42,1.00000,4.00000,0.06250
42,1.00000,8.00000,0.06250
42,1.00000,6.00000,0.15625
42,1.00000,5.00000,0.09375
42,1.00000,9.00000,0.09375
42,0.00000,2.00000,0.14286
42,0.00000,3.00000,0.42857
42,0.00000,1.00000,0.14286
42,0.00000,0.00000,0.28571
42,40.00000,28.00000,0.66667
42,40.00000,81.00000,0.33333
43,31.00000,22.00000,0.39130
43,31.00000,72.00000,0.08696
43,31.00000,73.00000,0.34783
